State_Name,District_Name,Crop_Year,Season,Crop,Area
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Arecanut,1254
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Other Kharif pulses,2
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102
Chhattisgarh,NARAYANPUR,2012,Kharif,Other Kharif pulses,13
Chhattisgarh,NARAYANPUR,2012,Kharif,Ragi,346
Chhattisgarh,NARAYANPUR,2012,Kharif,Rice,24207
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Dry ginger,46
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1
Bihar,SIWAN,2001,Whole Year,Sugarcane,5537
Bihar,SIWAN,2001,Kharif,Moong(Green Gram),4